% Model:              Fundamental_Focused_Aluminum_Electrodes_300nm_3.76MHz_to_3.78MHz_50Hz_Stepping_Mechanical_Damping_Used_1e-3_1cm_Diam_Electrodes.mph
% Version:            COMSOL 5.0.1.276
% Date:               Feb 17 2021, 11:05
% Table:              Table 7 - Global Evaluation 1 (es2.Y11)
% freq (Hz)              20*log10(abs((1/es2.Y11 - 50)/(1/es2.Y11 + 50)))
3776900                  -0.8272717878214403
3777000                  -0.8162586951261958
3777100                  -0.8056663909657555
3777200                  -0.7954756043169222
3777300                  -0.7856678198287105
3777400                  -0.7762253194899694
3777500                  -0.7671312065414547
3777600                  -0.7583694391320075
3777700                  -0.7499248305547936
3777800                  -0.7417830674341952
3777900                  -0.7339306790521888
3778000                  -0.7263550226658007
3778100                  -0.7190442278727742
3778200                  -0.7119871560046932
3778300                  -0.7051733299689784
3778400                  -0.6985928767494041
3778500                  -0.692236472154612
3778600                  -0.6860952820799937
3778700                  -0.6801609196041668
3778800                  -0.674425409483256
3778900                  -0.6688811567100188
3779000                  -0.6635209241963944
3779100                  -0.6583378121440895
3779200                  -0.653325249017461
3779300                  -0.6484769744231256
3779400                  -0.6437870285608261
3779500                  -0.6392497424384457
3779600                  -0.6348597280552299
3779700                  -0.6306118639201025
3779800                  -0.6265012829933775
3779900                  -0.6225233590861952
3780000                  -0.6186736958768311
