% Model:              Fundamental_Focused_Aluminum_Electrodes_300nm_3.4MHz_to_4.2MHz_1kHz_Stepping_Mechanical_Damping_Used_1e-3_1cm_Diam_Electrodes.mph
% Version:            COMSOL 5.0.1.276
% Date:               Feb 17 2021, 11:02
% Table:              Table 7 - Global Evaluation 1 (es2.Y11)
% freq (Hz)              20*log10(abs((1/es2.Y11 - 50)/(1/es2.Y11 + 50)))
3645000                  -0.12878784339561847
3646000                  -0.13021796594473858
3647000                  -0.1312074384426849
3648000                  -0.13217562449964854
3649000                  -0.13331826409425848
3650000                  -0.13458453916294083
3651000                  -0.13593069103869007
3652000                  -0.137307006022372
3653000                  -0.13869012163844066
3654000                  -0.14007072035431334
3655000                  -0.14150690740913022
3656000                  -0.14300760481019406
3657000                  -0.1446041097494453
3658000                  -0.14634032811242131
3659000                  -0.1482280568533888
3660000                  -0.15018350954186
3661000                  -0.15203781486209947
3662000                  -0.15362598048620071
3663000                  -0.1550650341255223
3664000                  -0.1567324379787369
3665000                  -0.15860510593498994
3666000                  -0.16105736464126585
3667000                  -0.16449052055261348
3668000                  -0.1686133824721726
3669000                  -0.1710297345730178
3670000                  -0.17092288395120736
3671000                  -0.17118486580399164
3672000                  -0.1722084563414643
3673000                  -0.17323112756799378
3674000                  -0.17492893437050677
3675000                  -0.17746902265076106
3676000                  -0.18017484115169322
3677000                  -0.1814355080418201
3678000                  -0.1826275896517476
3679000                  -0.1849706421606198
3680000                  -0.1884647040439992
3681000                  -0.19169467940328894
3682000                  -0.19202241918691032
3683000                  -0.19199308518334998
3684000                  -0.1928240485580946
3685000                  -0.19425137930846348
3686000                  -0.1960909028075339
3687000                  -0.1982930983822467
3688000                  -0.20096674102959672
3689000                  -0.20418465126760946
3690000                  -0.20721510479899552
3691000                  -0.20917000190137308
3692000                  -0.2106433852408916
3693000                  -0.21176903310447626
3694000                  -0.21339944322233712
3695000                  -0.21532131574520277
3696000                  -0.21716960559345175
3697000                  -0.21926692220960958
3698000                  -0.22163984615595578
3699000                  -0.22401187938318676
3700000                  -0.22638364644845715
3701000                  -0.2288358115972627
3702000                  -0.2308682486418277
3703000                  -0.23279336499283518
3704000                  -0.23494460990521654
3705000                  -0.237226526454172
3706000                  -0.23959077740542062
3707000                  -0.24204894917382608
3708000                  -0.2446133093830474
3709000                  -0.247307740729932
3710000                  -0.2500195149732418
3711000                  -0.25258487654367945
3712000                  -0.2552240293589731
3713000                  -0.25802176815399236
3714000                  -0.26107103254604924
3715000                  -0.26458376002288764
3716000                  -0.26883104644595557
3717000                  -0.2744514934348741
3718000                  -0.2798117618555942
3719000                  -0.2805574997729413
3720000                  -0.2809400807908274
3721000                  -0.28316947949726456
3722000                  -0.2868643700576409
3723000                  -0.29213874508067483
3724000                  -0.29828316210339
3725000                  -0.303312111482546
3726000                  -0.3073778619201923
3727000                  -0.312269563970902
3728000                  -0.3145194948111102
3729000                  -0.31272237156805405
3730000                  -0.31192153768899994
3731000                  -0.31246989230887223
3732000                  -0.3144934423512333
3733000                  -0.3177395208585651
3734000                  -0.32209010624492945
3735000                  -0.32674500513122984
3736000                  -0.32964015338314245
3737000                  -0.3308039220500292
3738000                  -0.33273312391324306
3739000                  -0.3356503084852056
3740000                  -0.33920514600710816
3741000                  -0.3432381943177558
3742000                  -0.3477835856933315
3743000                  -0.353032156379453
3744000                  -0.3585326853753633
3745000                  -0.3630431372000852
3746000                  -0.36768066822106815
3747000                  -0.37326596834664594
3748000                  -0.3797835478328305
3749000                  -0.3870852576401987
3750000                  -0.3948314079687421
3751000                  -0.4034001871265949
3752000                  -0.4132639731326887
3753000                  -0.42481202862443784
3754000                  -0.4383255691141268
3755000                  -0.45427553494998835
3756000                  -0.4735073032831446
3757000                  -0.4969080061655671
3758000                  -0.5256478393818558
3759000                  -0.5620840236997079
3760000                  -0.6096135560140815
3761000                  -0.6732703732305821
3762000                  -0.7612671259224717
3763000                  -0.8876251165273856
3764000                  -1.0780418013789754
3765000                  -1.3807956193532873
3766000                  -1.895267557442883
3767000                  -2.8464003325872973
3768000                  -4.7270844176036615
3769000                  -8.013807907560722
3770000                  -8.453858254337854
3771000                  -5.128087309291443
3772000                  -3.063994391266458
3773000                  -2.021586018134791
3774000                  -1.4665560491337537
3775000                  -1.1482109683587534
3776000                  -0.9488314177802747
3777000                  -0.8162586949192135
3778000                  -0.7263550230155393
3779000                  -0.6635209241773139
3780000                  -0.6186736957736281
3781000                  -0.5863934929082275
3782000                  -0.5630200088570433
3783000                  -0.5450300554413294
3784000                  -0.5313069017647994
3785000                  -0.5219697918009194
3786000                  -0.5161728319155735
3787000                  -0.5128282739480311
3788000                  -0.5120144538372171
3789000                  -0.5135869996566693
3790000                  -0.5172418907123365
3791000                  -0.5230419673718018
3792000                  -0.5312530451210934
3793000                  -0.5435608548727232
3794000                  -0.5576494764044494
3795000                  -0.5679909426382055
3796000                  -0.5804161182265765
3797000                  -0.5977081219983935
3798000                  -0.6199200474037868
3799000                  -0.6478006438426092
3800000                  -0.6819239915386105
3801000                  -0.7235938836622551
3802000                  -0.7748811476935664
3803000                  -0.8371183874144448
3804000                  -0.9132646038603498
3805000                  -1.0100280328369091
3806000                  -1.1352943824709494
3807000                  -1.3010214436424292
3808000                  -1.528880699187348
3809000                  -1.8580792044055219
3810000                  -2.3558969554798828
3811000                  -3.0560787634902447
3812000                  -3.692381906376135
3813000                  -4.264596326632074
3814000                  -5.262884625876549
3815000                  -6.881325557427864
3816000                  -8.96301494950611
3817000                  -10.524006240059965
3818000                  -9.819143032931546
3819000                  -7.672588804057412
3820000                  -5.713105762281278
3821000                  -4.282715762112007
3822000                  -3.2877713582620705
3823000                  -2.5962582445589137
3824000                  -2.106903340231392
3825000                  -1.755042846886192
3826000                  -1.4954282302967914
3827000                  -1.2860229665679324
3828000                  -1.1206411561434888
3829000                  -0.9938205320733533
3830000                  -0.8909911149015275
3831000                  -0.8067770827737663
3832000                  -0.7392879908554733
3833000                  -0.6850226295685312
3834000                  -0.6414118907359851
3835000                  -0.6072243276510868
3836000                  -0.5830684940208807
3837000                  -0.5696723886403959
3838000                  -0.5592774782850483
3839000                  -0.5414559913137793
3840000                  -0.512342669252517
3841000                  -0.4862999505469363
3842000                  -0.469242568728157
3843000                  -0.4568962504883466
3844000                  -0.4488877451393119
3845000                  -0.44555163917208984
3846000                  -0.44649447776299456
3847000                  -0.44854432789711474
3848000                  -0.44918976593537024
3849000                  -0.4530330636846476
3850000                  -0.463845126078034
3851000                  -0.4836278967015151
3852000                  -0.515160015435948
3853000                  -0.5649394984638261
3854000                  -0.6322591056233178
3855000                  -0.6921898700119642
3856000                  -0.7535525183749119
3857000                  -0.8559782311402058
3858000                  -1.0344906286016327
3859000                  -1.3467379735697276
3860000                  -1.913076476489091
3861000                  -2.9819122701569007
3862000                  -4.737091633794562
3863000                  -5.567924483637032
3864000                  -4.340038576672635
3865000                  -3.5569712368060435
3866000                  -3.887086577555942
3867000                  -5.349956667515997
3868000                  -6.512846916742506
3869000                  -4.827691431152919
3870000                  -2.9550076814987984
3871000                  -1.9093613389552277
3872000                  -1.3585147977618708
3873000                  -1.0613951777269834
3874000                  -0.9141394082208478
3875000                  -0.8729902835131541
3876000                  -0.8413264008703515
3877000                  -0.730940009586025
3878000                  -0.6215648886968534
3879000                  -0.5301944846996056
3880000                  -0.4574628571379311
3881000                  -0.40660245866639555
3882000                  -0.3678503373963927
3883000                  -0.34388971175967475
3884000                  -0.3348944389906395
